date,pr,mm,mp,mc,weekday,hol,months,target
01/02/2018,1654,44,210,2226,Thu,N,1,2523
02/02/2018,1451,40,201,2124,Fri,N,1,2450
03/02/2018,1212,36,187,1921,Sat,N,1,2300
04/02/2018,1546,51,250,2684,Sun,N,1,2650
05/02/2018,1326,52,241,2463,Mon,N,1,2113
06/02/2018,1056,46,184,1935,Tue,N,1,1876
07/02/2018,1416,45,211,2121,Wed,N,1,2255
08/02/2018,1444,39,175,1982,Thu,N,1,2410
09/02/2018,1612,48,191,2298,Fri,N,1,2668
10/02/2018,1659,38,194,2201,Sat,N,1,2743
11/02/2018,1524,34,206,1954,Sun,N,1,2613
12/02/2018,1251,39,144,1505,Mon,N,1,2145
13/02/2018,1718,49,183,1995,Tue,N,1,2641
14/02/2018,2400,80,306,2889,Wed,Y,1,3578
15/02/2018,1842,44,153,2124,Thu,Y,1,2980
16/02/2018,1073,31,145,1339,Fri,Y,1,1951
17/02/2018,1076,31,142,1474,Sat,Y,1,2096
18/02/2018,1240,44,193,2225,Sun,Y,1,2333
19/02/2018,1292,29,191,2512,Mon,Y,1,2297
20/02/2018,1711,32,164,2233,Tue,N,1,2382
21/02/2018,1864,46,249,2450,Wed,N,1,2733
22/02/2018,1866,47,169,2238,Thu,N,1,2872
23/02/2018,1734,50,172,2185,Fri,N,1,2818
24/02/2018,1859,28,153,2205,Sat,N,1,2832
25/02/2018,2042,48,265,2948,Sun,N,1,3177
26/02/2018,1531,45,206,2497,Mon,N,1,2890
27/02/2018,1452,72,198,2257,Tue,N,1,2514
28/02/2018,2141,74,238,2842,Wed,N,1,3048
01/03/2018,1946,41,202,2340,Thu,N,2,2979
02/03/2018,1212,31,192,1998,Fri,N,2,2047
03/03/2018,1201,27,173,1854,Sat,N,2,2082
04/03/2018,1408,51,234,2828,Sun,N,2,2536
05/03/2018,1400,53,213,2799,Mon,N,2,2175
06/03/2018,1177,52,227,2302,Tue,N,2,2055
07/03/2018,1251,36,215,2372,Wed,N,2,2107
08/03/2018,1283,45,166,2150,Thu,N,2,2079
09/03/2018,1140,40,169,2029,Fri,N,2,2312
10/03/2018,1288,42,166,2017,Sat,N,2,2464
11/03/2018,1379,43,210,2848,Sun,N,2,2541
12/03/2018,1439,49,238,2646,Mon,N,2,2246
13/03/2018,1088,55,232,2340,Tue,N,2,1951
14/03/2018,1314,54,227,2410,Wed,N,2,2241
